country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Hungary,HUN,26/02/2021,9769949.00,808008,563601,244407,46103,29709,8.36,5.83,2.53,3075,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,26/02/2021,361313.00,32157,19593,12564,706,920,9.42,5.74,3.68,2696,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,26/02/2021,1366417754.00,13756940,11552857,2204083,689893,472428,1,0.84,0.16,342,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,26/02/2021,270203917.00,2449451,1583581,865870,133786,82443,0.9,0.58,0.32,301,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,26/02/2021,5007069.00,426070,285780,140290,16541,12195,8.63,5.79,2.84,2470,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,26/02/2021,84584.00,19884,13600,6284,1089,391,23.38,15.99,7.39,4598,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,26/02/2021,9053300.00,7993170,4677753,3315417,55877,117674,92.35,54.04,38.3,13595,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,26/02/2021,60297396.00,4144068,2756532,1387536,133094,102285,6.85,4.56,2.29,1692,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,26/02/2021,126226568.00,28530,28530,,6634,3356,0.02,0.02,,27,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Jersey,JEY,26/02/2021,107800.00,,,,,566,,,,5600,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
Kuwait,KWT,26/02/2021,4207083.00,,,,,8810,,,,2063,Pfizer/BioNTech,Ministry of Health,https://twitter.com/KUWAIT_MOH/status/1368961318095626243
Latvia,LVA,26/02/2021,1912789.00,62137,45122,17015,3360,2512,3.29,2.39,0.9,1332,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,26/02/2021,6855713.00,34991,,,5171,3095,0.51,,,453,Pfizer/BioNTech,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Liechtenstein,LIE,26/02/2021,38019.00,,,,,107,,,,2806,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
Lithuania,LTU,26/02/2021,2786844.00,237745,164449,73296,9956,6928,8.73,6.04,2.69,2545,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,26/02/2021,619896.00,,,,,1004,,,,1604,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Macau,MAC,26/02/2021,682800.00,11982,11982,,1291,1329,1.85,1.85,,2047,"Pfizer/ BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/368822/
Malaysia,MYS,26/02/2021,31949777.00,,,,,895,,,,28,Pfizer/BioNTech,Government of Malaysia,https://twitter.com/JKJAVMY/status/1370608736092442625
Maldives,MDV,26/02/2021,530953.00,99419,,,1108,5053,18.39,,,9348,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1370419731929436162
Malta,MLT,26/02/2021,502653.00,76159,51041,25118,2515,2014,17.25,11.56,5.69,4561,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,26/02/2021,126014024.00,2271032,1708721,562311,182219,99553,1.76,1.33,0.44,772,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Mongolia,MNG,26/02/2021,3225167.00,4926,,,,1232,0.15,,,376,Oxford/AstraZeneca,Ministry of Health,https://montsame.mn/en/read/254989
Montenegro,MNE,26/02/2021,622137.00,1288,1288,,175,215,0.21,0.21,,342,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,26/02/2021,36910560.00,3424295,3327858,96437,220190,151735,9.28,9.02,0.26,4111,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
Netherlands,NLD,26/02/2021,17332850.00,,,,,42309,,,,2469,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
New Zealand,NZL,26/02/2021,4841000.00,,,,,174,,,,36,Pfizer/BioNTech,Ministry of Health,https://www.rnz.co.nz/news/national/438064/covid-19-vaccine-2m-new-zealanders-will-get-first-dose-within-four-months
United Kingdom,,26/02/2021,66834405.00,548294,515678,32616,11208,10661,28.95,27.23,1.72,5630,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,26/02/2021,5347896.00,496524,333203,163321,18153,14497,9.16,6.15,3.01,2674,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,26/02/2021,5266535.00,,,,,1635,,,,320,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Panama,PAN,26/02/2021,4246439.00,106667,,,17248,10079,2.47,,,2336,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Paraguay,PRY,26/02/2021,7044636.00,,,,,216,,,,30,Sputnik V,Government of Paraguay,https://vacunate.mspbs.gov.py/index-listado-vacunados.php
Peru,PER,26/02/2021,32510453.00,,299848,,,,,0.91,,,Sinopharm/Beijing,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Poland,POL,26/02/2021,37970874.00,3269812,2101754,1168058,,87005,8.64,5.55,3.09,2299,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,26/02/2021,10269417.00,797005,538636,258369,44688,25481,7.82,5.28,2.53,2499,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,26/02/2021,2832067.00,,,,,11000,,,,3818,Pfizer/BioNTech,National Strategic Group on COVID-19,https://twitter.com/MOPHQatar/status/1368573172711370756
Romania,ROU,26/02/2021,19356544.00,1506032,890068,615964,19125,26811,7.83,4.63,3.2,1394,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,26/02/2021,144373535.00,,,,,70472,,,,483,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,26/02/2021,12626950.00,,,,,4170,,,,322,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/RwandaHealth/status/1370347319275708419
Saint Lucia,LCA,26/02/2021,182790.00,,,,,131,,,,713,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saudi Arabia,SAU,26/02/2021,34268528.00,639587,,,0,17337,1.84,,,498,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
United Kingdom,,26/02/2021,66834405.00,1642331,1570153,72178,34062,28031,30.06,28.74,1.32,5131,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Senegal,SEN,26/02/2021,16296364.00,21641,21641,,9892,5410,0.13,0.13,,323,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1369984043819892739
Serbia,SRB,26/02/2021,6944975.00,1393086,886086,507000,17214,33145,20.47,13.02,7.45,4871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,26/02/2021,97625.00,,,,,1744,,,,17734,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Singapore,SGP,26/02/2021,5703569.00,,,,,15004,,,,2565,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/covid-19
Slovakia,SVK,26/02/2021,5454073.00,435691,302889,132802,12984,10767,7.98,5.55,2.43,1972,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,26/02/2021,2087946.00,174059,122359,51700,7749,4281,8.37,5.89,2.49,2059,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
South Africa,ZAF,26/02/2021,58558270.00,63648,63648,63648,11001,8161,0.11,0.11,0.11,138,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,26/02/2021,51709098.00,18489,18489,,18489,18489,0.04,0.04,,361,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Spain,ESP,26/02/2021,47076781.00,,,,,98970,,,,2117,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210312.ods
Sri Lanka,LKA,26/02/2021,21803000.00,406633,,,,20408,1.9,,,953,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,26/02/2021,10285453.00,,,,,21011,,,,2080,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,26/02/2021,8574832.00,768029,533947,234082,9553,18742,8.87,6.17,2.7,2166,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Turkey,TUR,26/02/2021,83429615.00,8298805,6745147,1553658,319079,276729,9.84,8,1.84,3281,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,26/02/2021,44385155.00,3051,3051,,1713,1446,0.01,0.01,,33,Oxford/AstraZeneca,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,26/02/2021,9770529.00,5933299,,,87263,66638,59.99,,,6738,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,26/02/2021,66834405.00,20450858,19682048,768810,537266,371219,30.13,28.99,1.13,5468,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,26/02/2021,328239523.00,70454064,47184199,22613359,2179947,1552717,21.07,14.11,6.76,4643,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Venezuela,VEN,26/02/2021,28515829.00,,,,,701,,,,25,Sputnik V,Government of Venezuela,https://www.semana.com/mundo/articulo/y-el-carvativir-venezuela-solo-ha-vacunado-a-unas-12000-personas-contra-el-coronavirus/202126/
United Kingdom,,26/02/2021,66834405.00,1005389,916336,89053,22993,17069,31.89,29.06,2.82,5414,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Zimbabwe,ZWE,26/02/2021,14645468.00,12579,12579,,1572,1750,0.08,0.08,,118,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1370448161106448389
Albania,ALB,25/02/2021,2854191.00,10135,,,,1012,0.35,,,352,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Andorra,AND,25/02/2021,77142.00,,,,,56,,,,725,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12516-la-campanya-de-vacunacio-passara-a-la-fase-3-a-finals-d-aquesta-setmana
Anguilla,AIA,25/02/2021,15094.00,,,,,97,,,,6466,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1401018393586066?__cft__[0]=AZW-80LVjuILqNGdOZL1sR-MrM8Dx3VzvZbOJhtfQzOqI7GI2R2-H7nzVpxe38RNNNBlPCpnCM-TyQ9GIK6uMRz6r2DXYHNjlOaD7QkIerslsc6iZPAHaB1Wr6odRJR4denyVHeQcpuAmXZ0yhSv0Oz4&__tn__=%2CO%2CP-R
Argentina,ARG,25/02/2021,44938712.00,829832,558831,271001,49377,27750,1.84,1.24,0.6,614,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,25/02/2021,25364307.00,17500,17500,,10592,2500,0.07,0.07,,98,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,25/02/2021,8877067.00,609444,380908,228536,19163,14063,6.77,4.23,2.54,1561,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,25/02/2021,10023318.00,,,,,9929,,,,979,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,25/02/2021,1501635.00,,290103,,,7712,,17.05,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,25/02/2021,167310838.00,2850940,2850940,,177902,143232,1.73,1.73,,870,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Barbados,BRB,25/02/2021,287025.00,29283,29283,,3705,2541,10.19,10.19,,8842,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4014237895274917/5
Belgium,BEL,25/02/2021,11484055.00,803705,489312,314393,30853,17547,6.93,4.22,2.71,1514,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bermuda,BMU,25/02/2021,63918.00,,,,,631,,,,10133,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Bolivia,BOL,25/02/2021,11513100.00,,,,,491,,,,42,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,25/02/2021,212559417.00,7799000,6202055,1596945,247324,227474,3.67,2.92,0.75,1070,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,25/02/2021,6975761.00,188512,153793,34719,20050,14000,2.71,2.21,0.5,2015,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,25/02/2021,16486542.00,13101,13101,,,1311,0.08,0.08,,78,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,25/02/2021,37589262.00,1711455,1212595,498860,58893,50719,4.53,3.21,1.32,1344,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cayman Islands,CYM,25/02/2021,71100.00,21106,,,638,586,32.12,,,8917,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-news
Chile,CHL,25/02/2021,18952038.00,3279887,3223774,56113,85827,75252,17.16,16.86,0.29,3937,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,25/02/2021,1397715000.00,,,,,631579,,,,439,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html
Colombia,COL,25/02/2021,50339443.00,66157,66157,,15633,8329,0.13,0.13,,164,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx
Costa Rica,CRI,25/02/2021,5047561.00,,,,,3323,,,,652,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,25/02/2021,4067500.00,194267,135756,58511,10191,7435,4.73,3.31,1.43,1811,Pfizer/BioNTech,Ministry of Health,https://www.rtl.hr/vijesti-hr/novosti/hrvatska/3994562/rtlhr-doznaje-evo-koliko-je-cijepljenih-u-hrvatskoj-i-kako-stojimo-u-odnosu-na-druge-zemlje/
Cyprus,CYP,25/02/2021,1198575.00,,,,,2721,,,,3107,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/coronavirus/uploads/08032021--%CE%A1%CE%B1%CE%BD%CF%84%CE%B5%CE%B2%CE%BF%CF%8D%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C%20%CE%BA%CE%B1%CF%84%CE%AC%20%CF%84%CE%B7%CF%82%20COVID-19.pdf
Czech Republic,CZE,25/02/2021,10669709.00,633478,397834,235644,22986,14509,5.92,3.71,2.2,1355,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,25/02/2021,5818553.00,557431,376559,180872,15079,14112,9.62,6.5,3.12,2436,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Dominica,DMA,25/02/2021,71808.00,,,,,400,,,,5556,Oxford/AstraZeneca,Government of Dominica,http://dominica.gov.dm/images/coronavirus/dominica-coronavirus-update-March-1-2021.jpg
Dominican Republic,DOM,25/02/2021,10738958.00,,,,,3970,,,,366,Oxford/AstraZeneca,Ministry of Public Health,https://twitter.com/SaludPublicaRD/status/1370015677608828930
Ecuador,ECU,25/02/2021,17373662.00,,,,,2500,,,,142,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
El Salvador,SLV,25/02/2021,6453553.00,16000,16000,,,2114,0.25,0.25,,326,Oxford/AstraZeneca,Ministry of Health,https://www.presidencia.gob.sv/gobierno-ya-aplico-16000-vacunas-anti-covid-19-al-personal-de-salud-de-primera-linea-publica-y-privada/
United Kingdom,,25/02/2021,66834405.00,16785841,16227104,558737,448280,295272,29.82,28.83,0.99,5246,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,25/02/2021,1326590.00,96980,68629,28351,465,2986,7.31,5.17,2.14,2251,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Faroe Islands,FRO,25/02/2021,53358.00,,,,,167,,,,3418,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,25/02/2021,5520314.00,396861,319559,77302,19420,11823,7.16,5.77,1.4,2134,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,25/02/2021,67059887.00,4298573,2808490,1490083,186789,112080,6.34,4.14,2.2,1652,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,25/02/2021,83132799.00,5678159,3718972,1959187,181723,145877,6.78,4.44,2.34,1741,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,25/02/2021,34003.00,34600,21591,13009,1229,832,102.7,64.09,38.61,24695,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,25/02/2021,10716322.00,826370,540039,286331,32023,27476,7.93,5.18,2.75,2636,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,25/02/2021,56081.00,,,,,77,,,,1356,Pfizer/BioNTech,Government of Greenland,https://knr.gl/da/nyheder/overblik-s%C3%A5-langt-er-gr%C3%B8nland-med-vaccinere
Grenada,GRD,25/02/2021,112003.00,,,,,285,,,,2533,Oxford/AstraZeneca,Government of Grenada,http://www.gov.gd/more-3000-grenadians-receive-covid-19-vaccine
Guatemala,GTM,25/02/2021,16604026.00,0,,,,,0,,,,Moderna,Ministry of Health,https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98
Guernsey,GGY,25/02/2021,65573.00,,,,,142,,,,2118,Pfizer/BioNTech,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine
Hong Kong,HKG,25/02/2021,7507400.00,,,,,1200,,,,160,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.info.gov.hk/gia/general/202103/12/P2021031200872.htm
Hungary,HUN,25/02/2021,9769949.00,761905,521283,240622,42759,31093,7.89,5.4,2.49,3219,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,25/02/2021,361313.00,31451,19075,12376,,943,9.22,5.59,3.63,2763,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,25/02/2021,1366417754.00,13067047,11206188,1860859,700414,460075,0.95,0.81,0.13,333,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,25/02/2021,270203917.00,2315665,1461920,853745,126877,75384,0.85,0.53,0.31,276,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,25/02/2021,5007069.00,409529,271594,137935,18174,11865,8.29,5.5,2.79,2403,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,25/02/2021,84584.00,18795,13286,5509,472,500,22.1,15.62,6.48,5880,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,25/02/2021,9053300.00,7937293,4652852,3284441,115447,120753,91.7,53.76,37.95,13951,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,25/02/2021,60297396.00,4010974,2637736,1373238,126083,96335,6.63,4.36,2.27,1593,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,25/02/2021,126226568.00,21896,21896,,4008,3041,0.02,0.02,,24,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Jersey,JEY,25/02/2021,107800.00,,,,,548,,,,5422,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
Jordan,JOR,25/02/2021,10101694.00,150000,,,,11039,1.47,,,1082,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.reuters.com/article/us-health-coronavirus-jordan/jordan-says-covid-19-vaccination-drive-to-accelerate-in-coming-weeks-idUSKBN2AP2VO
Kuwait,KWT,25/02/2021,4207083.00,,,,,8810,,,,2063,Pfizer/BioNTech,Ministry of Health,https://twitter.com/KUWAIT_MOH/status/1368961318095626243
Latvia,LVA,25/02/2021,1912789.00,58777,41850,16927,4170,2225,3.12,2.22,0.9,1180,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,25/02/2021,6855713.00,29820,,,4427,2888,0.44,,,423,Pfizer/BioNTech,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
